points;parameters;xmin;xmax;ymin;ymax
1000000;[[[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]]];-3.15;1.51;-1.01;1.45
250000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]], [[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]]];-4.07;5.34;-6.76;1.13
250000;[[[0.96, -0.33, -0.77, 0.29, -0.99, 0.67, -0.63, -0.38, -0.46, -0.99], [-0.74, -0.9, 0.31, 0.81, -0.4, 0.84, 0.15, -0.03, 0.79, -0.83]], [[1.54, 0.01, -1.49, 0.65, -0.86, 0.75, -1.09, -0.26, -0.85, -1.5], [-0.77, -0.61, 0.43, 0.27, -0.02, 0.94, -0.15, 0.24, 1.84, -0.86]], [[0.79, 0.46, 0.43, -0.86, 0.07, 0.44, -0.77, 0.09, 0.03, 0.4], [0.05, 0.13, 0.21, -0.28, 0.55, -0.09, 0.98, 0.62, -0.56, -0.64]], [[-0.41, -0.37, -0.13, 1.22, -0.08, 1.47, -1.44, 0.42, 0.13, 1.26], [-0.92, -0.38, -0.11, -0.47, 1.42, 0.65, -0.01, 0.76, 0.69, -1.01]]];-14.8;5.34;-6.76;2.45
50000;[[[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]], [[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]], [[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]]];-4.53;1.68;-2.39;1.55
50000;[[[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]], [[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]], [[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]]];-0.68;5.26;-7.91;1.55
50000;[[[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]], [[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]], [[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]]];-1.9;1.66;-0.68;2.94
50000;[[[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]], [[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]], [[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]]];-0.67;5.27;-8.77;1.27
50000;[[[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]], [[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]], [[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]]];-0.44;21.48;-10.57;0.76
50000;[[[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]], [[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]], [[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]]];-0.44;206.95;-24.67;0.76
250000;[[[0.243, -1.297, 0.785, 1.613, -0.839, -1.251, -0.061, 0.67, 1.034, 0.397], [0.38, -0.795, -1.187, 1.172, 1.666, -1.738, -1.23, -0.484, -1.914, -1.417]], [[0.838, -0.858, -1.15, -0.566, -0.085, 1.187, 1.709, -1.221, 0.215, 1.474], [0.639, -0.221, 1.767, 1.096, -0.827, -1.607, -0.656, -1.078, -1.701, 1.871]], [[-0.184, 0.895, 1.075, -1.022, 1.051, 1.376, -0.583, 1.95, 1.661, -0.658], [-0.314, -1.477, -0.218, 1.49, 1.461, -1.809, 0.114, -1.182, -1.866, -0.106]]];-0.68;5.26;-7.91;1.55
250000;[[[-0.406, -0.905, -0.264, 1.193, -0.154, 1.557, -1.27, -0.495, 0.15, 1.47], [0.467, 1.317, -1.78, -0.174, 1.678, 1.871, -0.654, 1.295, 1.617, -1.994]], [[0.065, -0.169, -0.85, -0.573, -1.668, -0.25, -0.316, 1.043, -2.166, 0.317], [0.432, -1.717, -0.872, 0.971, -0.465, 1.215, -0.803, -0.805, -0.106, -1.873]], [[-0.303, 0.543, 1.302, 0.953, -1.172, -0.112, -1.542, 0.607, -1.048, -0.109], [1.36, 0.562, 0.39, 0.585, -1.566, 0.046, 0.284, 1.063, -0.662, -0.522]], [[0.977, 0.409, 0.067, -0.88, -0.545, 0.349, 0.133, -0.608, -0.697, 0.117], [0.526, -1.256, 1.967, -0.654, 1.065, -0.574, -1.468, -0.456, 0.378, -0.551]]];-2.21;1.2;-1.32;5.46
250000;[[[-0.406, -0.905, -0.264, 1.193, -0.154, 1.557, -1.27, -0.495, 0.15, 1.47], [0.467, 1.317, -1.78, -0.174, 1.678, 1.871, -0.654, 1.295, 1.617, -1.994]], [[0.977, 0.409, 0.067, -0.88, -0.545, 0.349, 0.133, -0.608, -0.697, 0.117], [0.526, -1.256, 1.967, -0.654, 1.065, -0.574, -1.468, -0.456, 0.378, -0.551]], [[0.065, -0.169, -0.85, -0.573, -1.668, -0.25, -0.316, 1.043, -2.166, 0.317], [0.432, -1.717, -0.872, 0.971, -0.465, 1.215, -0.803, -0.805, -0.106, -1.873]]];-6.03;1.1;-23.78;2.28
250000;[[[0.977, 0.409, 0.067, -0.88, -0.545, 0.349, 0.133, -0.608, -0.697, 0.117], [0.526, -1.256, 1.967, -0.654, 1.065, -0.574, -1.468, -0.456, 0.378, -0.551]], [[-0.406, -0.905, -0.264, 1.193, -0.154, 1.557, -1.27, -0.495, 0.15, 1.47], [0.467, 1.317, -1.78, -0.174, 1.678, 1.871, -0.654, 1.295, 1.617, -1.994]], [[0.065, -0.169, -0.85, -0.573, -1.668, -0.25, -0.316, 1.043, -2.166, 0.317], [0.432, -1.717, -0.872, 0.971, -0.465, 1.215, -0.803, -0.805, -0.106, -1.873]]];-5.24;1.1;-26.43;2.36
250000;[[[-0.406, -0.905, -0.264, 1.193, -0.154, 1.557, -1.27, -0.495, 0.15, 1.47], [0.467, 1.317, -1.78, -0.174, 1.678, 1.871, -0.654, 1.295, 1.617, -1.994]], [[0.065, -0.169, -0.85, -0.573, -1.668, -0.25, -0.316, 1.043, -2.166, 0.317], [0.432, -1.717, -0.872, 0.971, -0.465, 1.215, -0.803, -0.805, -0.106, -1.873]], [[-0.303, 0.543, 1.302, 0.953, -1.172, -0.112, -1.542, 0.607, -1.048, -0.109], [1.36, 0.562, 0.39, 0.585, -1.566, 0.046, 0.284, 1.063, -0.662, -0.522]], [[0.977, 0.409, 0.067, -0.88, -0.545, 0.349, 0.133, -0.608, -0.697, 0.117], [0.526, -1.256, 1.967, -0.654, 1.065, -0.574, -1.468, -0.456, 0.378, -0.551]]];-2.21;1.2;-1.32;5.46
250000;[[[-0.406, -0.905, -0.264, 1.193, -0.154, 1.557, -1.27, -0.495, 0.15, 1.47], [0.467, 1.317, -1.78, -0.174, 1.678, 1.871, -0.654, 1.295, 1.617, -1.994]], [[0.977, 0.409, 0.067, -0.88, -0.545, 0.349, 0.133, -0.608, -0.697, 0.117], [0.526, -1.256, 1.967, -0.654, 1.065, -0.574, -1.468, -0.456, 0.378, -0.551]], [[0.065, -0.169, -0.85, -0.573, -1.668, -0.25, -0.316, 1.043, -2.166, 0.317], [0.432, -1.717, -0.872, 0.971, -0.465, 1.215, -0.803, -0.805, -0.106, -1.873]]];-6.03;1.1;-23.78;2.28
250000;[[[0.977, 0.409, 0.067, -0.88, -0.545, 0.349, 0.133, -0.608, -0.697, 0.117], [0.526, -1.256, 1.967, -0.654, 1.065, -0.574, -1.468, -0.456, 0.378, -0.551]], [[-0.406, -0.905, -0.264, 1.193, -0.154, 1.557, -1.27, -0.495, 0.15, 1.47], [0.467, 1.317, -1.78, -0.174, 1.678, 1.871, -0.654, 1.295, 1.617, -1.994]], [[0.065, -0.169, -0.85, -0.573, -1.668, -0.25, -0.316, 1.043, -2.166, 0.317], [0.432, -1.717, -0.872, 0.971, -0.465, 1.215, -0.803, -0.805, -0.106, -1.873]]];-5.24;1.1;-26.43;2.36
