points;parameters;xmin;xmax;ymin;ymax
1500000;[[-0.314, -1.069, -0.717, 0.956, -0.265, 1.889, -1.263, -0.443, -0.372, 1.447], [0.693, 0.84, -1.729, -0.375, 1.799, 1.43, -0.542, 1.078, 0.649, -2.102]];-0.52;0.0;0.0;0.89
1500000;[[-0.402, -0.914, -0.267, 1.212, -0.126, 1.571, -1.28, -0.471, 0.213, 1.471], [0.479, 1.35, -1.818, -0.162, 1.589, 1.93, -0.624, 1.292, 1.665, -1.914]];-0.4;0.0;-0.26;0.5
1500000;[[-0.478, -1.06, -0.008, 1.257, -0.433, 1.623, -1.135, -0.461, 0.174, 1.385], [0.537, 1.314, -1.941, -0.266, 1.841, 1.838, -0.733, 1.15, 1.525, -2.209]];-0.5;0.0;-0.28;0.63
1500000;[[-0.511, -0.98, -0.265, 1.196, 0.056, 1.344, -1.033, -0.391, 0.245, 1.337], [0.671, 1.427, -1.904, -0.197, 1.829, 1.788, -0.599, 1.091, 1.666, -1.894]];-0.51;0.0;-0.21;0.67
1500000;[[-0.38, -0.976, -0.803, 1.204, -0.175, 1.647, -1.501, -0.438, -0.19, 1.553], [0.636, 0.757, -1.62, -0.176, 1.753, 1.302, -0.578, 1.04, 0.398, -2.124]];-0.56;0.06;-0.25;0.85
1500000;[[-0.481, -1.049, 0.005, 1.292, -0.411, 1.616, -1.15, -0.463, 0.186, 1.374], [0.524, 1.334, -1.933, -0.232, 1.832, 1.827, -0.737, 1.157, 1.521, -2.23]];-0.54;0.03;-0.42;0.81
1500000;[[-0.425, -0.924, 0.139, 1.327, -0.474, 1.592, -1.326, -0.528, 0.31, 1.356], [0.529, 1.294, -1.873, -0.029, 1.725, 1.828, -0.739, 1.147, 1.593, -2.252]];-0.42;0.0;-0.18;0.55
1500000;[[-0.481, -1.082, -0.037, 1.261, -0.528, 1.595, -1.19, -0.451, 0.182, 1.346], [0.471, 1.23, -1.96, -0.205, 1.799, 1.874, -0.752, 1.179, 1.532, -2.19]];-0.51;0.0;-0.43;0.67
1500000;[[-0.506, -0.961, -0.249, 1.228, 0.083, 1.324, -1.051, -0.393, 0.225, 1.353], [0.648, 1.449, -1.908, -0.179, 1.811, 1.808, -0.607, 1.064, 1.691, -1.906]];-0.51;0.0;-0.26;0.65
1500000;[[-0.327, -0.738, -0.792, 1.158, 0.055, 1.447, -1.246, -0.432, -0.074, 1.425], [0.422, 1.108, -1.748, -0.209, 1.712, 1.6, -0.638, 1.132, 0.976, -1.96]];-0.47;0.11;-0.51;0.7
1500000;[[-0.307, -1.091, -0.743, 0.961, -0.255, 1.912, -1.283, -0.443, -0.344, 1.444], [0.7, 0.813, -1.743, -0.393, 1.806, 1.435, -0.548, 1.059, 0.662, -2.072]];-0.5;0.0;0.0;0.73
1500000;[[-0.48, -1.008, 0.102, 1.261, -0.459, 1.607, -1.207, -0.452, 0.217, 1.366], [0.445, 1.309, -1.914, -0.206, 1.778, 1.8, -0.756, 1.159, 1.493, -2.192]];-0.49;0.02;-0.5;0.6
1500000;[[-0.47, -1.054, -0.006, 1.232, -0.491, 1.592, -1.169, -0.471, 0.149, 1.34], [0.492, 1.226, -1.941, -0.258, 1.803, 1.842, -0.765, 1.145, 1.543, -2.208]];-0.51;0.01;-0.36;0.71
1500000;[[-0.484, -1.062, -0.017, 1.224, -0.51, 1.579, -1.154, -0.479, 0.156, 1.322], [0.509, 1.207, -1.959, -0.266, 1.82, 1.858, -0.771, 1.159, 1.54, -2.196]];-0.58;0.07;-0.46;0.86
1500000;[[-0.401, -0.899, -0.253, 1.233, -0.143, 1.458, -1.278, -0.511, 0.148, 1.565], [0.521, 1.44, -1.762, -0.087, 1.667, 2.005, -0.686, 1.22, 1.735, -1.999]];-0.44;0.03;-0.28;0.65
1500000;[[-0.4, -0.903, -0.265, 1.212, -0.173, 1.562, -1.275, -0.501, 0.173, 1.484], [0.481, 1.298, -1.793, -0.152, 1.722, 1.865, -0.673, 1.302, 1.647, -2.004]];-0.43;0.04;-0.31;0.6
1500000;[[-0.416, -0.917, -0.263, 1.223, -0.184, 1.526, -1.224, -0.461, 0.113, 1.529], [0.51, 1.35, -1.764, -0.185, 1.653, 1.863, -0.66, 1.267, 1.639, -2.023]];-0.42;0.01;-0.29;0.58
1500000;[[-0.388, -1.077, -0.672, 1.045, -0.243, 1.965, -1.358, -0.362, -0.378, 1.525], [0.689, 0.937, -1.708, -0.312, 1.878, 1.412, -0.533, 1.041, 0.573, -1.971]];-0.57;0.09;-0.25;0.94
1500000;[[-0.379, -0.838, -0.297, 1.027, -0.107, 1.368, -0.937, -0.536, 0.519, 1.349], [0.307, 1.382, -1.629, -0.162, 1.83, 1.884, -0.766, 1.214, 1.321, -1.924]];-0.45;0.06;-0.52;0.53
1500000;[[-0.388, -1.086, -0.653, 1.05, -0.265, 1.952, -1.364, -0.356, -0.357, 1.514], [0.723, 0.931, -1.681, -0.289, 1.89, 1.446, -0.531, 1.038, 0.563, -1.988]];-0.58;0.12;-0.19;0.93
1500000;[[-0.307, -1.067, -0.716, 0.942, -0.277, 1.895, -1.252, -0.434, -0.372, 1.436], [0.692, 0.833, -1.749, -0.363, 1.784, 1.41, -0.543, 1.092, 0.661, -2.085]];-0.51;0.0;0.0;0.85
1500000;[[-0.34, -1.1, -0.728, 0.969, -0.252, 1.874, -1.269, -0.416, -0.346, 1.464], [0.721, 0.804, -1.696, -0.394, 1.765, 1.408, -0.531, 1.023, 0.627, -2.061]];-0.51;0.0;0.0;0.73
1500000;[[-0.3, -1.086, -0.807, 0.887, -0.246, 1.846, -1.234, -0.479, -0.347, 1.485], [0.721, 0.894, -1.693, -0.429, 1.755, 1.448, -0.53, 1.013, 0.553, -2.015]];-0.49;0.0;0.0;0.75
1500000;[[-0.478, -1.04, 0.005, 1.272, -0.426, 1.625, -1.14, -0.444, 0.186, 1.367], [0.529, 1.324, -1.926, -0.25, 1.829, 1.823, -0.727, 1.164, 1.529, -2.226]];-0.51;0.0;-0.3;0.65
1500000;[[-0.39, -0.903, -0.266, 1.197, -0.147, 1.54, -1.269, -0.505, 0.172, 1.464], [0.445, 1.313, -1.766, -0.123, 1.64, 1.881, -0.63, 1.321, 1.616, -1.988]];-0.4;0.0;-0.3;0.49
1500000;[[-0.42, -0.937, -0.273, 1.22, -0.213, 1.524, -1.243, -0.453, 0.102, 1.511], [0.486, 1.348, -1.784, -0.205, 1.639, 1.886, -0.662, 1.319, 1.622, -2.022]];-0.42;0.0;-0.31;0.52
1500000;[[-0.301, -1.092, -0.731, 0.962, -0.268, 1.899, -1.273, -0.467, -0.352, 1.43], [0.707, 0.852, -1.743, -0.38, 1.779, 1.447, -0.548, 1.084, 0.662, -2.09]];-0.5;0.0;0.0;0.83
1500000;[[-0.491, -1.072, -0.029, 1.247, -0.509, 1.579, -1.174, -0.459, 0.179, 1.338], [0.489, 1.231, -1.94, -0.223, 1.795, 1.878, -0.766, 1.16, 1.547, -2.174]];-0.55;0.02;-0.48;0.77
1500000;[[-0.364, -0.962, -0.808, 1.204, -0.174, 1.676, -1.472, -0.448, -0.216, 1.543], [0.62, 0.764, -1.588, -0.156, 1.769, 1.268, -0.585, 1.039, 0.432, -2.137]];-0.58;0.12;-0.33;0.89
1500000;[[-0.281, -1.075, -0.772, 0.941, -0.253, 1.901, -1.288, -0.473, -0.382, 1.537], [0.739, 0.848, -1.699, -0.502, 1.676, 1.403, -0.477, 0.999, 0.546, -2.036]];-0.48;0.0;0.0;0.79
1500000;[[-0.473, -1.024, 0.014, 1.233, -0.467, 1.624, -1.156, -0.46, 0.132, 1.396], [0.501, 1.255, -1.955, -0.203, 1.833, 1.805, -0.743, 1.136, 1.549, -2.168]];-0.54;0.05;-0.48;0.83
1500000;[[-0.422, -0.953, -0.291, 1.223, -0.2, 1.508, -1.262, -0.471, 0.114, 1.503], [0.5, 1.365, -1.771, -0.188, 1.652, 1.891, -0.661, 1.31, 1.629, -2.036]];-0.42;0.0;-0.3;0.56
1500000;[[-0.407, -0.982, -0.287, 1.387, -0.225, 1.508, -1.161, -0.532, 0.263, 1.391], [0.498, 1.228, -1.778, -0.005, 1.53, 1.962, -0.519, 1.194, 1.735, -1.929]];-0.44;0.02;-0.24;0.62
1500000;[[-0.433, -0.838, -0.044, 1.299, -0.43, 1.577, -1.425, -0.449, 0.27, 1.341], [0.48, 1.112, -1.842, 0.018, 1.666, 1.949, -0.731, 1.259, 1.574, -2.259]];-0.5;0.08;-0.32;0.62
1500000;[[-0.324, -0.724, -0.779, 1.142, 0.072, 1.464, -1.231, -0.441, -0.055, 1.441], [0.435, 1.105, -1.755, -0.22, 1.694, 1.612, -0.65, 1.133, 0.957, -1.943]];-0.48;0.13;-0.5;0.73
1500000;[[-0.422, -0.932, -0.128, 1.201, -0.053, 1.49, -1.352, -0.533, 0.036, 1.408], [0.581, 1.359, -1.708, -0.178, 1.713, 1.962, -0.714, 1.019, 1.632, -1.962]];-0.48;0.0;-0.23;0.73
1500000;[[-0.342, -0.769, -0.764, 1.162, 0.039, 1.399, -1.224, -0.408, 0.114, 1.383], [0.509, 1.101, -1.663, -0.19, 1.74, 1.659, -0.501, 1.199, 1.127, -2.111]];-0.43;0.0;-0.25;0.58
1500000;[[-0.269, -1.072, -0.859, 0.969, -0.265, 1.935, -1.232, -0.434, -0.405, 1.491], [0.764, 0.84, -1.737, -0.455, 1.776, 1.313, -0.522, 0.938, 0.543, -2.006]];-0.51;0.12;-0.1;0.94
1500000;[[-0.453, -0.94, 0.122, 1.294, -0.49, 1.61, -1.278, -0.503, 0.279, 1.371], [0.501, 1.262, -1.871, -0.082, 1.799, 1.844, -0.748, 1.095, 1.582, -2.222]];-0.53;0.04;-0.33;0.75
1500000;[[-0.446, -0.935, 0.141, 1.298, -0.483, 1.601, -1.3, -0.53, 0.283, 1.359], [0.516, 1.263, -1.862, -0.031, 1.756, 1.834, -0.735, 1.129, 1.596, -2.241]];-0.51;0.03;-0.3;0.72
1500000;[[-0.31, -1.087, -0.718, 0.945, -0.296, 1.895, -1.278, -0.42, -0.336, 1.416], [0.688, 0.86, -1.761, -0.357, 1.789, 1.387, -0.524, 1.095, 0.662, -2.051]];-0.47;0.0;0.0;0.69
1500000;[[-0.239, -1.025, -0.852, 0.979, -0.229, 1.953, -1.183, -0.44, -0.45, 1.53], [0.745, 0.806, -1.733, -0.422, 1.794, 1.334, -0.52, 0.903, 0.555, -1.972]];-0.51;0.0;0.0;0.84
1500000;[[-0.426, -0.93, -0.255, 1.093, -0.243, 1.578, -1.33, -0.485, 0.106, 1.477], [0.556, 1.357, -1.74, -0.125, 1.704, 1.858, -0.643, 1.255, 1.593, -2.087]];-0.46;0.04;-0.28;0.69
1500000;[[-0.471, -1.03, -0.002, 1.218, -0.482, 1.614, -1.167, -0.459, 0.144, 1.386], [0.52, 1.258, -1.937, -0.221, 1.817, 1.812, -0.753, 1.122, 1.537, -2.185]];-0.52;0.02;-0.32;0.71
1500000;[[-0.308, -1.085, -0.781, 0.904, -0.252, 1.814, -1.244, -0.484, -0.334, 1.479], [0.714, 0.874, -1.698, -0.435, 1.755, 1.44, -0.537, 1.004, 0.613, -2.051]];-0.49;0.0;0.0;0.72
1500000;[[-0.402, -0.842, -0.188, 1.338, -0.209, 1.481, -1.296, -0.502, 0.238, 1.411], [0.46, 1.141, -1.852, -0.175, 1.721, 1.793, -0.657, 1.265, 1.667, -2.053]];-0.43;0.04;-0.3;0.59
1500000;[[-0.363, -1.082, -0.694, 1.063, -0.225, 1.956, -1.338, -0.348, -0.393, 1.495], [0.691, 0.914, -1.671, -0.35, 1.822, 1.414, -0.542, 1.066, 0.613, -2.013]];-0.52;0.0;-0.06;0.88
1500000;[[-0.507, -1.1, -0.187, 1.448, -0.187, 1.593, -1.151, -0.485, 0.323, 1.355], [0.526, 1.107, -1.768, 0.057, 1.392, 1.96, -0.587, 1.422, 1.728, -2.032]];-0.51;0.0;-0.27;0.6
1500000;[[-0.415, -0.939, -0.276, 1.084, -0.238, 1.583, -1.365, -0.472, 0.098, 1.444], [0.541, 1.344, -1.734, -0.151, 1.693, 1.832, -0.63, 1.237, 1.608, -2.079]];-0.42;0.0;-0.22;0.58
1500000;[[-0.316, -0.734, -0.796, 1.122, 0.078, 1.459, -1.301, -0.461, -0.029, 1.436], [0.408, 1.086, -1.726, -0.198, 1.726, 1.554, -0.619, 1.111, 0.993, -1.965]];-0.45;0.1;-0.45;0.63
1500000;[[-0.433, -1.115, -0.224, 1.375, -0.292, 1.531, -1.131, -0.498, 0.24, 1.401], [0.505, 1.213, -1.795, 0.045, 1.564, 1.93, -0.479, 1.225, 1.729, -1.931]];-0.43;0.0;-0.02;0.51
1500000;[[-0.365, -1.06, -0.662, 1.034, -0.235, 1.941, -1.318, -0.34, -0.359, 1.464], [0.645, 0.893, -1.718, -0.372, 1.831, 1.369, -0.53, 1.047, 0.638, -2.047]];-0.5;0.0;-0.04;0.78
1500000;[[-0.369, -1.146, -1.758, 1.847, -1.319, 0.574, -0.734, -0.451, -0.303, 1.418], [0.385, 1.013, -1.456, 2.253, -1.377, 1.055, -0.308, -0.429, -0.248, -0.005]];-0.54;0.0;-0.74;0.39
1500000;[[-0.151, -1.33, -1.937, -2.734, 1.251, 1.014, 2.219, 0.927, 2.455, 1.58], [-0.809, -0.08, 0.372, -1.598, -1.49, 2.56, -0.017, -2.393, -2.105, 1.05]];-0.18;0.0;-0.84;0.01
1500000;[[-0.379, -0.963, -0.797, 1.209, -0.158, 1.655, -1.482, -0.44, -0.188, 1.555], [0.621, 0.773, -1.637, -0.17, 1.735, 1.284, -0.581, 1.057, 0.407, -2.122]];-0.56;0.09;-0.33;0.86
