points;parameters;xmin;xmax;ymin;ymax
2000000;[[-0.036, -0.89, -0.957, 0.583, -0.068, 1.482, -1.741, -1.04, -0.092, 1.222], [0.649, 1.549, -1.9, 0.566, 2.086, 0.935, -1.916, 0.944, 0.611, -2.208]];-0.39;0.0;0.0;0.87
500000;[[-0.036, -0.89, -0.957, 0.583, -0.068, 1.482, -1.741, -1.04, -0.092, 1.222], [0.649, 1.549, -1.9, 0.566, 2.086, 0.935, -1.916, 0.944, 0.611, -2.208]];-0.39;0.0;0.0;0.87
500000;[[0.302, -0.717, 1.29, 0.061, -0.825, -0.816, -0.457, -0.073, -0.971, -0.435], [-1.347, 0.069, 1.36, 0.167, 1.046, 1.612, -0.438, -0.465, 1.127, 0.809]];-0.32;0.42;-1.7;0.06
500000;[[-0.303, 0.543, 1.302, 0.953, -1.172, -0.112, -1.542, 0.607, -1.048, -0.109], [1.36, 0.562, 0.39, 0.585, -1.566, 0.046, 0.284, 1.063, -0.662, -0.522]];-1.11;0.0;-0.3;1.39
2000000;[[0.049, -1.812, 1.927, -1.705, 1.501, 1.321, 1.075, 1.012, -1.222, 1.787], [-0.074, -0.933, -1.549, -0.082, -0.29, 0.198, -0.199, -0.153, -1.338, -0.721]];-0.19;0.18;-0.29;0.02
2000000;[[-0.035, 1.681, 1.122, -1.987, 0.489, 0.872, -0.214, -0.611, 1.327, 1.864], [0.313, -1.269, 1.382, 1.608, 0.675, 0.822, 0.768, -0.567, 0.033, -0.312]];-0.46;0.0;0.0;0.54
2000000;[[-0.56, -0.857, 0.078, 0.939, 0.209, 0.35, 1.557, -1.239, 1.028, 0.827], [-0.703, 0.253, -1.309, 1.45, -0.102, 1.958, -0.156, -1.142, -0.224, -0.179]];-0.96;0.92;-1.1;0.66
2000000;[[-0.546, 0.677, 1.055, -1.942, -1.017, -0.84, 1.171, -0.658, -1.747, -1.545], [-0.357, 0.064, -0.752, -0.598, -0.114, -0.115, -1.955, -0.861, -1.34, -1.168]];-0.65;0.03;-0.45;0.0
2000000;[[-0.45, -0.486, -1.075, -0.856, -1.105, -1.017, 1.873, 0.78, -0.245, -1.181], [-0.247, 0.082, 1.794, 0.35, -0.555, -1.841, -1.384, -1.154, 0.761, 1.336]];-0.67;0.0;-0.25;0.46
2000000;[[-0.417, -0.268, 0.209, 0.327, -1.162, 1.433, 0.023, 1.453, -1.365, -0.662], [0.594, 0.812, -0.918, -0.94, -0.645, 1.191, -1.275, 0.865, -1.459, 1.587]];-0.89;0.0;-0.38;0.72
2000000;[[0.104, -0.195, -1.207, 0.811, 0.479, 1.872, 0.374, 0.226, 0.195, 0.313], [0.128, 1.042, 0.259, -1.198, 1.845, 0.951, -0.095, -1.106, -0.392, 0.983]];-0.28;0.22;-0.72;0.55
2000000;[[0.036, -0.881, 1.554, 1.21, -1.136, 1.877, 1.8, -1.798, 1.262, 0.754], [0.445, -0.025, -0.664, -1.549, -1.979, 0.692, 1.165, -0.46, 0.786, -0.5]];-0.44;0.32;0.0;0.45
2000000;[[0.447, -0.446, 0.932, 1.762, 1.728, 1.169, -0.157, -0.011, 1.358, 1.658], [-0.156, 0.8, -0.946, -1.742, 1.121, 1.382, -1.298, -0.524, -0.729, -0.399]];0.0;0.53;-0.67;0.0
2000000;[[-0.412, -0.768, 1.281, -0.405, -1.54, 1.007, 0.397, 0.741, -1.955, 1.139], [0.501, -1.165, 1.373, 1.01, -1.593, 1.254, -1.532, -0.441, -1.389, 1.38]];-0.6;0.26;-0.19;1.39
2000000;[[0.616, -1.033, -0.236, 0.182, -0.999, 1.544, 0.078, -0.728, 1.506, -0.835], [0.273, 1.025, 1.31, -0.282, 1.432, -1.159, 0.966, -0.29, -1.485, 1.281]];-0.04;0.62;-0.16;1.36
2000000;[[-0.438, 0.924, -1.303, -0.473, -0.997, 1.933, 0.372, -0.006, 0.759, -0.779], [-0.652, 0.177, -0.01, -1.324, 0.549, -1.051, -0.569, -0.693, 1.686, -0.3]];-0.94;0.31;-0.74;1.0
2000000;[[-0.567, -0.446, -0.696, -0.859, -1.766, 1.429, -1.178, 0.587, 1.716, -1.859], [0.034, -0.054, -0.077, 0.848, 0.206, 1.169, 1.467, -0.663, 1.532, 0.632]];-0.57;0.0;-0.16;0.18
2000000;[[0.468, -0.479, -1.225, 1.877, -1.414, 0.506, 1.638, 0.771, -1.271, 0.309], [0.048, -1.588, 0.83, 1.186, 0.735, -1.543, 1.724, -0.216, 1.012, 1.31]];-0.3;0.56;-0.47;0.64
2000000;[[0.217, 1.652, 0.653, -1.413, 1.26, -0.921, -1.246, -0.562, -1.266, -0.574], [0.254, -0.677, 0.122, 1.273, -0.321, 0.6, 0.444, 1.35, -0.76, -1.642]];-0.8;0.54;0.0;0.66
2000000;[[0.95, -0.823, -0.627, 0.792, -1.273, -0.367, -1.491, 1.035, -1.2, -1.692], [-0.531, 1.198, -1.476, -1.511, -1.473, -0.964, -0.629, -0.281, 1.34, -0.505]];0.0;0.95;-0.53;0.0
2000000;[[0.193, -1.299, -0.703, 0.197, -1.033, -0.197, 0.959, -1.523, 0.678, 1.43], [-0.23, 1.166, 0.91, 1.783, -1.222, -0.961, 1.512, 1.604, -0.919, 0.219]];-0.14;0.37;-0.34;0.15
2000000;[[0.344, -0.326, -1.779, -0.217, 1.092, 1.436, 1.46, -1.353, -1.646, 1.116], [0.148, 0.886, 0.439, -1.791, -0.655, 0.25, 0.156, 0.508, -0.86, -0.554]];-0.72;0.36;-0.04;0.49
2000000;[[0.305, 1.543, -1.531, -1.383, 1.276, 0.943, -1.673, -0.928, -0.219, 1.253], [0.05, -0.108, 1.498, -0.359, -0.32, -0.352, -0.102, 0.793, -1.992, -1.891]];0.0;0.67;-0.32;0.52
2000000;[[-0.396, 0.23, 0.683, -0.346, -0.596, 0.75, 0.809, 1.905, -0.248, -1.086], [-0.211, 0.332, 1.064, -0.818, 0.248, -0.166, -0.691, -0.084, 1.23, -0.753]];-0.81;0.34;-0.24;0.65
